"Ukazatel","IndicatorType","Území","Uz0","Měsíce","CasM","Hodnota"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2013","2013-01","46.732"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2013","2013-02","47.186"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2013","2013-03","46.807"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2013","2013-04","47.001"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2013","2013-05","45.48335"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2013","2013-06","45.715"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2013","2013-07","44.806"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2013","2013-08","44.743"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2013","2013-09","44.671"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2013","2013-10","44.162"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2013","2013-11","44.213"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2013","2013-12","44.681"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2014","2014-01","44.996"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2014","2014-02","45.347"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2014","2014-03","45.949"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2014","2014-04","46.267"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2014","2014-05","46.089"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2014","2014-06","45.934"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2014","2014-07","46.099"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2014","2014-08","46.103"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2014","2014-09","46.094"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2014","2014-10","45.87"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2014","2014-11","46.021"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2014","2014-12","45.973"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2015","2015-01","46.449"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2015","2015-02","46.943"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2015","2015-03","46.883"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2015","2015-04","47.676"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2015","2015-05","47.542"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2015","2015-06","47.126"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2015","2015-07","47.358"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2015","2015-08","47.449"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2015","2015-09","46.655"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2015","2015-10","46.619"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2015","2015-11","46.969"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2015","2015-12","47.08"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2016","2016-01","46.703"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2016","2016-02","46.882"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2016","2016-03","47.157"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2016","2016-04","46.842"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2016","2016-05","46.594"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2016","2016-06","46.94"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2016","2016-07","46.814"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2016","2016-08","47.029"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2016","2016-09","46.885"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2016","2016-10","46.931"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2016","2016-11","47.124"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2016","2016-12","47.49"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2017","2017-01","47.254"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2017","2017-02","46.908"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2017","2017-03","47.096"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2017","2017-04","47.287"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2017","2017-05","47.355"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2017","2017-06","47.669"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2017","2017-07","47.569"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2017","2017-08","47.691"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2017","2017-09","48.043"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2017","2017-10","47.635"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2017","2017-11","47.589"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2017","2017-12","47.609"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2018","2018-01","47.938"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2018","2018-02","47.509"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2018","2018-03","48.117"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2018","2018-04","48.01"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2018","2018-05","47.976"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2018","2018-06","48.031"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2018","2018-07","48.102"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2018","2018-08","47.195"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2018","2018-09","46.83"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2018","2018-10","46.21"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2018","2018-11","46.387"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2018","2018-12","46.007"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2019","2019-01","46.643"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2019","2019-02","46.687"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2019","2019-03","46.365"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2019","2019-04","46.399"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2019","2019-05","46.365"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červen 2019","2019-06","46.175"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","červenec 2019","2019-07","45.993"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","srpen 2019","2019-08","45.76"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","září 2019","2019-09","45.724"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","říjen 2019","2019-10","45.729"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","listopad 2019","2019-11","46.121"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","prosinec 2019","2019-12","45.855"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","leden 2020","2020-01","45.626"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","únor 2020","2020-02","46.27"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","březen 2020","2020-03","45.861"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","duben 2020","2020-04","46.022"
"Z  Býci jateční v živém [kg]","627701","Česko","CZ","květen 2020","2020-05","44.927"
