Roky,Hrubá míra reprodukce,Naděje dožití mužů,Naděje dožití žen,Průměrná délka trvání manželství při rozvodu,Průměrný věk matek při narození 1. dítěte,Průměrný věk matek při narození dítěte,Průměrný věk mužů při prvním sňatku,Průměrný věk žen při prvním sňatku,Tabulková prvosňatečnost mužů (%),Tabulková prvosňatečnost žen (%),Úhrnná plodnost,Úhrnná rozvodovost (%),Čistá míra reprodukce
1920,1.432,47.0306280001,49.777447325,12.5714222798,,30.1662467283,,,,,2.964,5.4021434412,1.155
1921,1.467,48.8224915263,51.8279599416,11.3161666877,,29.8318665445,,,,,3.035,7.3745065179,1.185
1922,1.391,49.5876774786,52.6985217523,11.269254949,,29.7591934818,,,,,2.882,8.0576698972,1.124
1923,1.34,52.8793183006,55.8588373484,11.4511686576,,29.6483300136,,,,,2.768,6.4616876387,1.083
1924,1.259,52.6106674868,55.8399842955,11.5631104696,,29.5918693857,,,,,2.59,6.0544519949,1.018
1925,1.206,52.8536850027,56.0537490893,11.4714283956,25.2630072753,29.4199265942,,,,,2.484,5.8682055918,0.976
1926,1.16,52.6585225811,55.8563387863,10.9731119782,25.1343450872,29.2760579561,,,,,2.392,5.4930405306,0.939
1927,1.09,51.9078796612,55.1079173619,11.0141344668,25.0001462566,29.0901291623,,,,,2.237,5.5604260527,0.883
1928,1.076,52.9728576846,56.672186081,10.7465342093,24.9823261537,28.9330631002,,,,,2.209,5.4655524448,0.872
1929,1.028,52.378088011,56.1458536148,10.7465342093,24.9575481233,28.7883497917,,,,,2.124,5.4655524448,0.835
1930,1.049,53.7005955613,57.6136085044,10.7465342093,24.934015272,28.6012224927,,,,,2.149,5.4655524448,0.852
1931,0.98,54.4540176886,58.2795616844,10.7036635022,24.8538177383,28.5073444615,,,,,2.026,5.685955503,0.796
1932,0.955,54.788926875,58.3691750654,10.7036635022,24.8416991253,28.4023130788,,,,,1.966,5.685955503,0.777
1933,0.887,55.4078490617,58.7947712746,10.7036635022,24.8847494812,28.3069303515,,,,,1.826,5.685955503,0.721
1934,0.862,55.8248867145,59.6334644405,10.6679875565,24.9743127125,28.3018649349,,,,,1.774,6.5842776302,0.701
1935,0.817,55.7642824259,59.7909463144,10.6077147654,24.9781760412,28.2520394991,,,,,1.678,6.8917071994,0.664
1936,0.807,56.1681188795,59.8357334543,10.4173710456,25.0795279054,28.2287987767,,,,,1.664,8.1690686272,0.656
1937,0.819,56.4490536865,60.4067486739,10.4493095366,25.0853282759,28.160737936,,,,,1.69,7.8591091186,0.666
1938,0.8957575637,55.866225764,60.4475575284,,25.1205680967,27.933517596,,,,,1.8473244809,,0.7557872061
1939,0.9288093779,56.1536080683,60.187426147,,25.0360577654,27.7635833935,,,,,1.9162229132,,0.7826214511
1940,1.0561144002,56.3546965086,60.7681321952,,24.7362521971,27.4089329367,,,,,2.1951122314,,0.8999057316
1941,1.0967710427,56.39864327,60.4842679486,,24.8650567761,27.7067702066,,,,,2.2793749139,,0.9265241153
1942,1.1665984174,55.4400984215,59.8266279378,,25.02672798,27.9051669017,,,,,2.4223601087,,0.9715331112
1943,1.338665061,56.0990334091,59.7714844657,,25.11389408,28.0319933784,,,,,2.7849297641,,1.1086098801
1944,1.3490648897,56.6474049947,60.8210366779,,25.2292841752,28.4806929376,,,,,2.7960015477,,1.14037081
1945,1.295,50.4321848694,58.6362166501,,25.1259418104,28.6074844145,,,,,2.673,,1.18
1946,1.574,57.9273753954,63.0946241115,,24.9759001432,28.4415729723,,,,,3.254,,1.435
1947,1.476,60.2158916652,64.9954148706,,24.5696231408,28.1009373626,,,,,3.05,,1.346
1948,1.392,61.5565857255,66.1550044131,,24.2138781526,27.8110306576,,,,,2.886,,1.27
1949,1.328,61.3320089124,66.3385637559,9.1336651066,24.0747863997,27.4726318653,,,,,2.7282834154,11.2913861574,1.212
1950,1.365,62.0097610138,66.819586842,10.8125021221,23.7725855239,27.3080825994,,,,,2.8007815193,12.0814033451,1.247
1951,1.35,62.9193797104,67.7433854197,10.0122575339,23.5963472907,27.1100240318,,,,,2.7631617847,10.9431322479,1.232
1952,1.314,64.651809781,69.3113513744,9.2802879185,23.5637092708,27.0261003659,,,,,2.7015039766,12.0040021158,1.231
1953,1.268,65.4257596695,70.0192842702,8.9564994933,23.4513624087,26.9839469764,,,,,2.6108291322,10.7395926929,1.2
1954,1.253,65.7694477645,70.67452719,8.6495916887,23.3323802876,26.8606682489,,,,,2.5813773561,11.0215805496,1.197
1955,1.248,66.6515150634,71.6708559284,8.6842635603,23.2351559268,26.7292191303,,,,,2.5778241373,13.7887906066,1.197
1956,1.247,67.0540245075,72.0981951046,10.2913961535,23.0976407644,26.5116778694,,,,,2.5683647185,14.5429572133,1.199
1957,1.199,66.6896151214,71.8242162995,9.7307371415,22.9760236542,26.2785982182,,,,,2.495135997,14.5264076871,1.153
1958,1.109,67.6195353527,72.7460617136,9.6041404656,22.9943205384,25.9272428984,,,,,2.3052808628,16.0502559334,1.071
1959,1.014,67.4954137646,72.8625344635,9.6949393122,22.9039559975,25.4868166761,,,,,2.1216795416,15.8944524442,0.982
1960,1.012,67.9554302547,73.4780617338,9.8008765131,22.86377592,25.4199870768,,,,,2.1135583132,15.843243318,0.982
1961,1.027,67.6526226132,73.5897483717,9.8191267912,22.88992596,25.4257572256,24.5473520364,21.4351166284,95.8022011886,97.6402843548,2.1328366865,17.2288559927,0.997
1962,1.032,66.9021346562,72.9131325526,9.8524350454,22.80437785,25.3202250365,24.3248492306,21.3594908426,95.9671670009,97.5122260717,2.1404483469,17.6397711085,1.001
1963,1.125,67.317931182,73.5358906775,9.6882922649,22.73706311,25.4455816587,24.1796083816,21.3421709693,96.038706734,97.3777538313,2.332624738,18.4781361938,1.092
1964,1.133,67.5106037342,73.7084515419,9.9830466036,22.71762051,25.5761365641,24.2652812046,21.5349901621,95.6822433134,97.1114004228,2.3566602972,18.0747842131,1.101
1965,1.056,67.1588036203,73.4586450619,9.896270512,22.67338427,25.5514001087,24.3310162196,21.7000063927,95.2158410061,96.4237363894,2.1785351866,20.2655010087,1.022
1966,0.982,67.2598841184,73.8240351461,9.8044097945,22.55427047,25.3624264584,24.2983735653,21.7352340936,95.0512493292,95.9144364423,2.0082193525,21.747851583,0.953
1967,0.926,67.1349376154,73.7436186951,9.7066012258,22.47943874,25.1563777676,24.3028161888,21.7922831519,94.9464160821,95.8969964451,1.8970936092,21.6183177476,0.899
1968,0.895,66.5761395276,73.4759572143,9.6850557866,22.5190862,25.0670781814,24.3255074232,21.7365094816,94.4640365462,95.5968865519,1.8275153301,23.0283468685,0.869
1969,0.908,65.9553908971,73.1444839862,9.6746426501,22.45455181,25.0191321321,24.3694243362,21.7182243325,93.6496925465,95.3195145178,1.8592523109,25.1830378588,0.88
1970,0.941,66.0633099033,73.026896588,9.8430781085,22.45362027,24.9701857361,24.41,21.7,93.78,95.85,1.9127147541,26.1491560983,0.914
1971,0.971,66.1688753707,73.3929253642,9.9404428339,22.58636257,25.1166931086,24.4441814889,21.6466583817,94.135871695,96.4971515951,1.9784952047,28.4737786141,0.944
1972,1.018,66.8434516585,73.7065510626,10.1656585474,22.61461644,25.1356682249,24.4142137099,21.5639165777,94.7117806754,97.076660117,2.0744320856,26.8898216224,0.989
1973,1.118,66.5408010452,73.6944496179,10.2705661685,22.6244743,25.2569624752,24.3322694225,21.4519494753,94.990334347,97.5313768716,2.2868089135,29.9130755493,1.088
